timestamp,node,cpu_workloads,memory_workloads,nvidia_com_gpu_workloads,status,condition,scenario_workloads,uid,cpu_allocatable,nvidia_com_gpu_allocatable,scenario_allocatable
13/10/2023 13:22,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,78035667-b4b0-4f9c-9e2f-d3ed69a4846d,1,0,A
13/10/2023 12:25,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,027f45a1-5988-4ec2-8456-d867e5949e11,0.1,0,A
13/10/2023 12:04,w7e7FPgTUy,31.85,60211.08203,0,TRUE,Ready,1,a675ab8a-0e71-4d88-8f55-fec4e301afaa,1,0,A
13/10/2023 12:32,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,5f9235c4-7ade-4f7b-8fbf-c1321afbb041,1,0,A
13/10/2023 13:36,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,a60a1382-53fd-4340-ac09-b1ac95424984,0.025,0,A
13/10/2023 13:43,WOdvBWaYBv,31.85,60211.08203,0,TRUE,Ready,1,3a121964-e3b5-46fd-a38e-b0b5b3e0e524,0.01,0,A
13/10/2023 12:28,eYSIRVqBog,31.85,60211.08203,0,,,1,f2b2476c-3f2f-4414-aa05-9033546d8548,0.1,0,A
13/10/2023 13:59,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,9c973348-7c7a-484b-a416-fa5791571b14,1,0,A
13/10/2023 12:13,wnZSuXTKrR,15.89,124341.3711,0,,,1,455a16b0-f845-44d4-9af3-93c28b250390,0.1,0,A
13/10/2023 13:30,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,8c13f7fa-0dd5-49ee-9f39-ba0e4894fb0b,1,0,A
13/10/2023 13:44,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,98f1470a-546c-4f2b-9d97-730ef4b1f14c,1,0,A
13/10/2023 13:25,YiqIMtGe8F,1.93,3308.949219,0,TRUE,Ready,1,4ba3c426-e716-4f28-9358-0db687185cc6,0.025,0,A
13/10/2023 13:50,yXhC1SiKDW,15.89,124341.3711,0,TRUE,Ready,1,b165a186-0f8e-4d74-bf79-7672e90cdbf0,0.01,0,A
13/10/2023 12:28,2faopPmbQX,7.91,14684.87891,0,,,1,e0e193df-4311-4ea3-b1dc-4593d8f99ef2,0.025,0,A
13/10/2023 12:10,eYSIRVqBog,31.85,60211.08203,0,,,1,f2b2476c-3f2f-4414-aa05-9033546d8548,0.1,0,A
13/10/2023 13:07,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,2d1113b2-22b5-4358-9f74-e5e9fbbfe907,1,0,A
13/10/2023 12:56,RCMXSLLDnL,15.89,124341.3711,0,TRUE,Ready,1,882d5125-572f-460b-b76e-7486940f2372,0.1,0,A
13/10/2023 13:47,RZQokrXABC,15.89,124341.3711,0,TRUE,Ready,1,96a76cca-0384-4092-a090-15d1865c453c,0.1,0,A
13/10/2023 12:16,xyOrJittdu,3.92,15027.37109,1,TRUE,Ready,1,92f1b773-278a-412c-a6d9-93de1289f553,2,1,A
13/10/2023 13:45,WOdvBWaYBv,31.85,60211.08203,0,TRUE,Ready,1,704b04f2-0cff-46f9-91b7-e4676ae50968,1,0,A
13/10/2023 13:23,0xozF0md0I,7.91,14684.87891,0,TRUE,Ready,1,327fff0d-3d9d-4c99-8e0d-f8581dfa7373,0.01,0,A
13/10/2023 12:05,br8L3VA52I,31.85,60211.08203,0,TRUE,Ready,1,e8153b6f-d8bf-4ea6-881e-76c5e7d29940,1,0,A
13/10/2023 13:16,E1hppGjS1N,31.85,60211.08203,0,TRUE,Ready,1,24a7cdaf-2082-474c-bbbc-e607f18fe93e,1,0,A
13/10/2023 13:02,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,b929f148-8f24-4070-96d5-38ba74f3cecf,1,0,A
13/10/2023 13:14,WOdvBWaYBv,31.85,60211.08203,0,TRUE,Ready,1,358eb46f-a6e3-44f7-8cd9-0fcf4beede18,1,0,A
13/10/2023 13:33,xyOrJittdu,3.92,15027.37109,1,TRUE,Ready,1,2db8f767-cac1-4e35-a518-b08c39e02fc9,0.1,0,A
13/10/2023 13:47,wnZSuXTKrR,15.89,124341.3711,0,TRUE,Ready,1,e81e1e2c-702d-42d7-bdf1-b5b1c1e20416,0.025,0,A
13/10/2023 13:57,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,b103d7a6-f9b3-47ae-9186-135bd0086cdb,1,0,A
13/10/2023 12:25,YiqIMtGe8F,1.93,3308.949219,0,,,1,975c2814-95aa-41eb-ae53-6ca5ed4257ff,0.1,0,A
13/10/2023 13:05,k2tGMu1neF,7.91,14684.87891,0,TRUE,Ready,1,8a01d1f0-8230-4cc1-ba5b-74834171396e,0.01,0,A
13/10/2023 13:09,WOdvBWaYBv,31.85,60211.08203,0,TRUE,Ready,1,6edb0c2b-8a4e-4910-b3f6-58de90bade58,0.1,0,A
13/10/2023 12:55,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,851a4bb0-4a4b-491a-83fa-3c088f162e0e,1,0,A
13/10/2023 12:55,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,646d0d60-4f8c-485d-8bd1-db389b9687ba,1,0,A
13/10/2023 13:47,br8L3VA52I,31.85,60211.08203,0,TRUE,Ready,1,51089ab6-19a3-4988-bc2a-170a3ced3b9e,1,0,A
13/10/2023 12:32,WjgPgy3yTf,31.85,60211.08203,0,TRUE,Ready,1,bee2f82a-7839-4141-a1ec-7b8b4888f081,0.025,0,A
13/10/2023 13:57,DKNbIuWaho,1.93,3308.941406,0,TRUE,Ready,1,d94a580d-2046-4d01-aded-d71a21dc488f,0.025,0,A
13/10/2023 12:47,yXhC1SiKDW,15.89,124341.3711,0,,,1,180626e8-f52d-4914-b641-cb829f94c54e,0.025,0,A
13/10/2023 12:40,WjgPgy3yTf,31.85,60211.08203,0,TRUE,Ready,1,149edf5f-930b-40eb-9a7d-d7694cb797ff,1,0,A
13/10/2023 12:22,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,dfdd2c8b-5ac8-486c-b67a-013beec20cb6,1,0,A
13/10/2023 13:21,br8L3VA52I,31.85,60211.08203,0,TRUE,Ready,1,5bb326d2-fe56-42b5-891c-c7193854c5eb,1,0,A
13/10/2023 13:55,WjgPgy3yTf,31.85,60211.08203,0,TRUE,Ready,1,aeba6cbd-3d77-4338-a852-98f113cdaae9,0.1,0,A
13/10/2023 12:23,RCMXSLLDnL,15.89,124341.3711,0,,,1,882d5125-572f-460b-b76e-7486940f2372,0.1,0,A
13/10/2023 13:15,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,87d5e806-adcb-427e-9d40-f9ee0919d078,1,0,A
13/10/2023 12:31,eYSIRVqBog,31.85,60211.08203,0,,,1,f2b2476c-3f2f-4414-aa05-9033546d8548,0.1,0,A
13/10/2023 13:03,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,a9f49a80-b72c-4939-900a-d80e51f5f068,1,0,A
13/10/2023 12:55,WjgPgy3yTf,31.85,60211.08203,0,TRUE,Ready,1,3e409bac-9f85-48f7-9ef9-618e57d2d27b,1,0,A
13/10/2023 12:44,k2tGMu1neF,7.91,14684.87891,0,,,1,7275f4be-ac15-48dc-9ea7-fd50eda3dfaf,0.025,0,A
13/10/2023 12:32,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,2645db00-5810-4aea-b167-50fe494b3be1,0.025,0,A
13/10/2023 12:14,RZQokrXABC,15.89,124341.3711,0,,,1,5e2edebb-9a60-4af7-815a-7710c2323d7c,0.01,0,A
13/10/2023 13:57,Miri81FkmX,15.89,124341.3711,0,TRUE,Ready,1,2a779255-9e7e-4c86-a1fc-32604051a81a,0.025,0,A
13/10/2023 12:07,br8L3VA52I,31.85,60211.08203,0,TRUE,Ready,1,0b9be031-341c-4fd6-b994-dd8154942a73,1,0,A
13/10/2023 12:55,yUgR3woFgQ,15.89,124341.3711,0,TRUE,Ready,1,81f841da-b0fe-4a46-9c1d-ec4fc31bface,0.1,0,A
13/10/2023 12:33,yUgR3woFgQ,15.89,124341.3711,0,,,1,0dc02ae3-94b1-4496-b2e4-2c5e9e732d6a,0.025,0,A
13/10/2023 12:22,rlT3yYQ31M,7.91,14684.87891,0,,,1,41527c5b-f847-4400-9b2c-1eede8b84532,0.1,0,A
13/10/2023 13:16,br8L3VA52I,31.85,60211.08203,0,TRUE,Ready,1,9e1c81e4-3a39-407e-91c3-b2839fe44e45,0.025,0,A
13/10/2023 13:25,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,1ab2e507-1d0c-45d2-8feb-a974d8dd3912,1,0,A
13/10/2023 12:38,VZNCBRb7Rn,31.85,60211.08203,0,TRUE,Ready,1,65c06c26-dba2-4b75-8ec8-90a0ca2f8b7e,1,0,A
13/10/2023 13:34,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,9c973348-7c7a-484b-a416-fa5791571b14,1,0,A
13/10/2023 12:50,2faopPmbQX,7.91,14684.87891,0,,,1,0ecc80c7-c8d9-4f3c-885b-73a24da9d52a,0.1,0,A
13/10/2023 13:09,WjgPgy3yTf,31.85,60211.08203,0,TRUE,Ready,1,511928dd-e869-4dfa-af81-8a5bc1f7e57d,0.01,0,A
13/10/2023 12:59,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,9c973348-7c7a-484b-a416-fa5791571b14,1,0,A
13/10/2023 13:09,yXhC1SiKDW,15.89,124341.3711,0,TRUE,Ready,1,2b0bda35-5197-41eb-8929-00c95adde8b6,0.1,0,A
13/10/2023 13:51,UKIKBY3D4x,31.85,60211.08203,0,TRUE,Ready,1,552bc3a0-e2c2-4762-9627-3fc4dc221610,1,0,A
13/10/2023 12:52,E1hppGjS1N,31.85,60211.08203,0,TRUE,Ready,1,5c32d4a8-b8a7-4d2d-bbac-901bd3d883c5,1,0,A
